vendor_id	exam_code	title
github	GH-900	GitHub Foundations
github	GH-300	GitHub Copilot
github	GH-200	GitHub Actions
github	GH-100	GitHub Enterprise Administrator
github	GH-500	GitHub Advanced Security
microsoft	AI-103	Developing AI Apps and Agents on Azure
microsoft	AB-100	Agentic AI Business Solutions Architect
microsoft	AZ-900	Microsoft Azure Fundamentals
microsoft	DP-900	Microsoft Azure Data Fundamentals
microsoft	PL-900	Microsoft Power Platform Fundamentals
microsoft	SC-900	Microsoft Security, Compliance, and Identity Fundamentals
microsoft	AB-900	Microsoft 365 Copilot and Agent Administration Fundamentals
microsoft	AI-901	Microsoft Azure AI Fundamentals
hashicorp	TERRAFORM-ASSOCIATE-004	Terraform Associate (004)
